19565082510	13319935953	20190705032055	2962
17885275338	17336673697	20190829071104	0457
15305526350	15244749863	20190319135210	0879
14410679238	16574556259	20190125234201	2598
16160892861	17885275338	20190315070752	0566
19342117869	18101213362	20190128022830	1585
19683537146	17336673697	20190522192339	2798
18101213362	17336673697	20190220140214	2597
13319935953	14397114174	20190827112527	1190
17885275338	19154926260	20190822202445	1258
19313925217	16160892861	20190510141417	1540
14410679238	19683537146	20191112094804	0433
13319935953	19154926260	20191021132345	2891
18840172592	19565082510	20190626014257	1708
17885275338	19565082510	20190507221956	1764
15280214634	16569963779	20190214040247	2258
